pi_timestamp	pi_value1	measurement_key
2019-07-07 13:00:00	7.69	moisture_white_meal_L1
2019-12-05 07:00:00	0.46	fat_white_meal_L2
2019-12-12 21:00:00	10.51	moisture_finished_meal_L2
2019-10-21 21:00:00	1.31	fat_finished_meal_L1
2019-01-10 05:00:00	21.87	fat_beans
2019-02-22 17:00:00	2.87	fiber_finished_meal_L1
2019-09-18 03:00:00	19.88	fat_beans
2019-03-31 21:00:00	6.44	moisture_white_meal_L2
2020-06-16 15:00:00	8.86	protein_hull_L1
2020-02-17 01:00:00	8.92	protein_hull_L1
2019-10-23 23:00:00	45.26	protein_finished_meal_L2
2019-02-22 05:00:00	11.88	moisture_finished_meal_L1
2019-04-08 15:00:00	7.11	moisture_white_meal_L1
2020-03-14 09:00:00	11.72	moisture_beans_L1
2018-11-04 09:00:00	9.5	moisture_white_meal_L2
2019-09-20 23:00:00	9.0	protein_hull_L2
2019-03-23 19:00:00	22.27	fat_beans_L2
2019-06-15 13:00:00	10.18	moisture_finished_meal_L1
2019-10-21 21:00:00	44.7	protein_finished_meal_L1
2019-06-28 15:00:00	4.0	fiber_finished_meal_L1
2020-03-26 19:00:00	21.25	fat_beans_L2
2020-02-11 23:00:00	22.74	fat_beans_L2
2020-01-08 13:00:00	11.61	moisture_beans_L2
2019-12-15 19:00:00	10.43	moisture_finished_meal_L1
2019-03-24 05:00:00	0.49	fat_white_meal_L1
2019-04-02 17:00:00	12.32	moisture_beans_L2
2019-10-13 13:00:00	11.79	moisture_beans
2019-04-24 15:00:00	45.65	protein_finished_meal_L2
2020-02-18 13:00:00	6.67	moisture_hull_L1
2019-08-04 19:00:00	6.82	moisture_hull_L1
2019-11-12 11:00:00	21.48	fat_beans_L1
2019-05-24 19:00:00	45.66	protein_finished_meal_L1
2019-07-01 17:00:00	0.3	fat_white_meal_L2
2020-03-14 15:00:00	1.82	fat_finished_meal_L1
2019-09-16 19:00:00	44.81	protein_finished_meal_L1
2020-02-24 15:00:00	1.08	fat_hull_L1
2019-10-20 05:00:00	1.13	fat_hull_L1
2019-11-22 15:00:00	1.27	fat_hull_L2
