timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/01/2019 00:00;0;1134;755;0,2;8,2;130;0,05;1,6;91;11;0,9
11/01/2019 02:00;0;No events found,;0;0;7,9;165;0,05;1,7;93;11;1
11/01/2019 04:00;0;No events found,;0;0,2;7,9;169;0,04;1,6;91;11;1
11/01/2019 06:00;0;No events found,;0;0;7,9;177;0,04;1,5;78;11;0,9
11/01/2019 08:00;1,49;1069;750;0,1;8,4;140;0,05;1,5;85;11;1
11/01/2019 10:00;0;0;0;0;8,3;156;0,04;2;103;11;1
11/01/2019 12:00;0;0;0;0;8,3;140;0,04;1,8;92;12;1,1
11/01/2019 14:00;0;0;0;0;8;159;0,04;1,6;88;11;1
11/01/2019 16:00;1,49;1048;737;0,1;8,1;151;0,05;1,7;116;16;1,6
11/01/2019 18:00;0;0;0;0;8,3;139;0,04;1,5;71;11;0,9
11/01/2019 20:00;0;0;0;0;8,3;159;0,04;1,3;64;8,8;0,5
11/01/2019 22:00;0;0;0;0;8,3;150;0,05;1,6;98;11;1,1
11/02/2019 00:00;0;1017;872;0,2;8,2;138;0,05;1,4;74;11;1
11/02/2019 02:00;0;No events found,;0;0;8,1;144;0,05;1,6;58;11;0,9
11/02/2019 04:00;0;No events found,;0;0;8,6;137;0,04;1,4;83;12;1
11/02/2019 06:00;0;No events found,;0;0;8,3;132;0,05;1,6;69;12;1
11/02/2019 08:00;1,58;998;802;0,1;8,7;135;0,05;1,8;56;12;1,2
11/02/2019 10:00;0;0;0;0;8,5;125;0,04;1,1;93;12;1,2
11/02/2019 12:00;0;0;0;0;8;119;0,05;0,9;60;12;1
11/02/2019 14:00;0;0;0;0;8,1;134;0,05;1,2;66;12;1,2
11/02/2019 16:00;1,53;995;709;0,1;8,3;132;0,04;1,5;113;12;1,2
11/02/2019 18:00;0;0;0;0;7,9;140;0,05;1,5;68;12;1,1
11/02/2019 20:00;0;0;0;0;8,1;154;0,05;1,6;67;12;1,2
11/02/2019 22:00;0;0;0;0;7,7;161;0,05;1,7;69;11;1
11/03/2019 00:00;1,53;935;851;0,2;7,9;158;0,05;1,4;93;14;1,4
11/03/2019 02:00;0;0;0;0;7,8;150;0,05;1,3;89;14;1,4
11/03/2019 04:00;0;0;0;0;7,7;142;0,05;1,4;84;14;1,4
11/03/2019 06:00;0;No events found,;0;0;7,2;198;0,05;1,3;61;9,9;0,9
11/03/2019 08:00;1,52;928;762;0,2;8,1;131;0,04;0,9;62;12;1,2
11/03/2019 10:00;0;0;0;0;8;128;0,04;0,9;57;13;1,2
11/03/2019 12:00;0;0;0;0;7,9;120;0,04;1,2;89;12;1,2
11/03/2019 14:00;0;0;0;0;8,1;122;0,04;0,9;56;12;1
