timestamp	measurement_dsc	pi_value1	plant_name
2018-03-11 00:00:00	clarificado_magnesio_ppm	0.6	Primavera do Leste
2018-05-11 00:00:00	clarificado_magnesio_ppm	0.5	Primavera do Leste
2018-07-11 00:00:00	clarificado_magnesio_ppm	0.21	Primavera do Leste
2018-08-11 00:00:00	clarificado_magnesio_ppm	0.38	Primavera do Leste
2018-10-11 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-11-11 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-11 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-11-14 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-11-15 00:00:00	clarificado_magnesio_ppm	1.04	Primavera do Leste
2018-11-17 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-11-18 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-07-12 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-08-12 00:00:00	clarificado_magnesio_ppm	1.63	Primavera do Leste
2018-10-12 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-11-12 00:00:00	clarificado_magnesio_ppm	1.39	Primavera do Leste
2018-12-12 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-13 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-15 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-16 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-17 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-18 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-19 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-21 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-22 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-23 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-24 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-26 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-27 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-30 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-12-31 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-01-01 00:00:00	clarificado_magnesio_ppm	1.37	Primavera do Leste
2019-02-01 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2018-03-02 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-04-01 00:00:00	clarificado_magnesio_ppm	1.01	Primavera do Leste
2019-05-01 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-06-01 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-08-01 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-09-01 00:00:00	clarificado_magnesio_ppm	1.79	Primavera do Leste
2019-10-01 00:00:00	clarificado_magnesio_ppm	1.02	Primavera do Leste
2019-11-01 00:00:00	clarificado_magnesio_ppm	1	Primavera do Leste
2019-12-01 00:00:00	clarificado_magnesio_ppm	1.26	Primavera do Leste
2019-01-13 00:00:00	clarificado_magnesio_ppm	1.36	Primavera do Leste
