data hora	measurement_desc	pi_value1	plant_name
2019-01-11 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-01-11 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 16:00:00	YellowColor_Oil_Deodorizing	16	Primavera do Leste
2019-01-11 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-11 20:00:00	YellowColor_Oil_Deodorizing	8.8	Primavera do Leste
2019-01-11 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-02-11 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-02-11 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-02-11 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 06:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 10:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 18:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-11 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-11 00:00:00	YellowColor_Oil_Deodorizing	14	Primavera do Leste
2019-03-11 02:00:00	YellowColor_Oil_Deodorizing	14	Primavera do Leste
2019-03-11 04:00:00	YellowColor_Oil_Deodorizing	14	Primavera do Leste
2019-03-11 06:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-03-11 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-11 10:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-03-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-11 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-11 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-11 18:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-03-11 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-11 22:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 00:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-11 02:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-11 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-11 08:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 10:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-11 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-11 16:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 18:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-11 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-11 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 00:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 06:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-05-11 08:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-05-11 10:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-11 18:00:00	YellowColor_Oil_Deodorizing	14	Primavera do Leste
2019-05-11 20:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-05-11 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-06-11 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-06-11 02:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-06-11 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-06-11 06:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-06-11 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-06-11 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-06-11 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-06-11 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-06-11 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-06-11 18:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-06-11 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-06-11 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-07-11 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-07-11 02:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-07-11 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-07-11 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-07-11 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-07-11 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-07-11 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-07-11 14:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-07-11 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-07-11 18:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-07-11 20:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-07-11 22:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-08-11 00:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-08-11 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-08-11 04:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-08-11 06:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-08-11 08:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-08-11 10:00:00	YellowColor_Oil_Deodorizing	9.6	Primavera do Leste
2019-08-11 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-08-11 14:00:00	YellowColor_Oil_Deodorizing	9.5	Primavera do Leste
2019-08-11 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
